feature	train_mean	train_std	test_mean	test_std
L_1_A6	0.20578	0.031889	0.321203	0.098699
L_4_A5	0.133145	0.039953	0.043634	0.069433
L_1_A12	0.125457	0.040738	0.124683	0.089298
L_5_A5	0.090309	0.012022	-0.027292	0.00889
L_10_A13	0.071034	0.011049	0.131487	0.043506
L_3_A16	0.056047	0.007536	0.033936	0.009328
L_4_A17	0.055767	0.007441	0.033704	0.00914
L_6_A9	0.026327	0.004503	0.043827	0.018937
L_9_A7	0.025568	0.004464	0.045026	0.019415
L_1_A4	0.024613	0.004016	0.022501	0.01673
L_10_A19	0.024228	0.001342	-0.007713	0.003794
L_5_missing	0.024116	0.005898	0.029374	0.007905
L_10_A17	0.022416	0.003655	0.023765	0.006824
L_6_A4	0.016276	0.007346	0.009824	0.017191
L_6_A5	0.012121	0.00397	0.021485	0.012978
L_2_A7	0.009142	0.004372	0.029678	0.013403
L_1_A1	0.008272	0.003092	0.010363	0.003935
L_5_A11	0.007775	0.002351	0.000791	0.004899
L_10_A16	0.00769	0.002329	0.000767	0.004858
L_9_A10	0.00761	0.00237	0.000798	0.004922
L_9_A9	0.006753	0.000476	-0.003703	0.001565
L_10_A8	0.003368	0.003739	0.00242	0.00429
L_2_A5	0.0	0.0	0.0	0.0
L_1_A44	0.0	0.0	0.0	0.0
L_1_A3	0.0	0.0	0.0	0.0
L_6_A6	0.0	0.0	0.0	0.0
L_10_A44	0.0	0.0	0.0	0.0
L_7_A10	0.0	0.0	0.0	0.0
L_7_A3	0.0	0.0	0.0	0.0
L_7_A44	0.0	0.0	0.0	0.0
L_7_A5	0.0	0.0	0.0	0.0
L_7_A6	0.0	0.0	0.0	0.0
L_7_A7	0.0	0.0	0.0	0.0
L_7_missing	0.0	0.0	0.0	0.0
L_8_A13	0.0	0.0	0.0	0.0
L_8_A2	0.0	0.0	0.0	0.0
L_8_A3	0.0	0.0	0.0	0.0
L_8_A44	0.0	0.0	0.0	0.0
L_8_A5	0.0	0.0	0.0	0.0
L_8_A6	0.0	0.0	0.0	0.0
L_8_A7	0.0	0.0	0.0	0.0
L_8_A8	0.0	0.0	0.0	0.0
L_10_A2	0.0	0.0	0.0	0.0
L_9_A12	0.0	0.0	0.0	0.0
L_9_A3	0.0	0.0	0.0	0.0
L_9_A4	0.0	0.0	0.0	0.0
L_10_A18	0.0	0.0	0.0	0.0
L_9_A8	0.0	0.0	0.0	0.0
L_6_A14	0.0	0.0	0.0	0.0
L_5_A8	0.0	0.0	0.0	0.0
L_2_A8	0.0	0.0	0.0	0.0
L_1_A7	0.0	0.0	0.0	0.0
L_2_missing	0.0	0.0	0.0	0.0
L_3_A14	0.0	0.0	0.0	0.0
L_3_A15	0.0	0.0	0.0	0.0
L_2_A44	0.0	0.0	0.0	0.0
L_3_A3	0.0	0.0	0.0	0.0
L_3_A44	0.0	0.0	0.0	0.0
L_3_A6	0.0	0.0	0.0	0.0
L_3_A8	0.0	0.0	0.0	0.0
L_3_A9	0.0	0.0	0.0	0.0
L_4_A10	0.0	0.0	0.0	0.0
L_4_A15	0.0	0.0	0.0	0.0
L_4_A16	0.0	0.0	0.0	0.0
L_2_A2	0.0	0.0	0.0	0.0
L_4_A2	0.0	0.0	0.0	0.0
L_4_A4	0.0	0.0	0.0	0.0
L_4_A44	0.0	0.0	0.0	0.0
L_2_A13	0.0	0.0	0.0	0.0
L_4_A7	0.0	0.0	0.0	0.0
L_1_A8	0.0	0.0	0.0	0.0
L_5_A15	0.0	0.0	0.0	0.0
L_5_A16	0.0	0.0	0.0	0.0
L_5_A17	0.0	0.0	0.0	0.0
L_5_A18	0.0	0.0	0.0	0.0
L_5_A3	0.0	0.0	0.0	0.0
L_5_A44	0.0	0.0	0.0	0.0
L_10_A10	0.0	0.0	0.0	0.0
